,genre,avg_streams,country
348,dubstep,12793125.49736842,gb
349,easy listening,1843230.0,gb
350,electro,6414258.830132275,gb
351,electro house,7352607.0199612435,gb
352,electropop,5369347.455731708,gb
353,emo,10458506.375,gb
354,escape room,1308551.4,gb
355,europop,2705095.611111111,gb
356,experimental,7525596.0,gb
357,folk,4847813.291666666,gb
358,folk rock,7525596.0,gb
359,funk,5391096.156410256,gb
360,gospel,799569.0,gb
361,grime,5841078.648618049,gb
362,hip hop,3092349.083079376,gb
363,house,8122766.895159074,gb
364,indie,1943198.107142857,gb
365,indie jazz,415802.0,gb
366,indie pop,5965657.032638889,gb
367,indie r&b,761417.8958333333,gb
368,indie rock,1922984.2083333333,gb
369,indie soul,712128.5166666667,gb
370,indietronica,1829464.0,gb
371,jazz,1377847.0,gb
372,k-hop,538252.0,gb
373,k-pop,1041035.2,gb
374,latin,3653063.267107892,gb
375,lounge,2070569.1666666667,gb
376,mellow gold,6009299.25,gb
377,metal,1831856.125,gb
378,moombahton,4985831.15,gb
379,new wave,9679095.5,gb
380,ninja,5669427.6875,gb
381,other,5527997.978571429,gb
382,pagode baiano,1057812.0,gb
383,pop,6812639.608810448,gb
384,pop house,16306438.5,gb
385,pop punk,10845712.0,gb
386,pop rap,4818368.642070472,gb
387,pop rock,5327507.888888889,gb
388,psychedelic rock,7525596.0,gb
389,punk,6651896.0,gb
390,r&b,3000793.713322884,gb
391,rap,3308835.929618472,gb
392,rap rock,2182824.333333333,gb
393,reggae,3532048.333333333,gb
394,reggaeton,4121399.5,gb
395,rock,6419778.9,gb
396,soul,5987667.366666667,gb
397,synthpop,380406.0,gb
398,techno,2525552.0,gb
399,trance,8581011.0,gb
400,trap,4524024.111111111,gb
401,tropical,4925215.0,gb
402,tropical house,10322050.294871794,gb
403,urban contemporary,447515.5,gb
404,anime,7201031.416666667,jp
405,classic rock,401256.6666666667,jp
406,country,1465333.5897435895,jp
407,country pop,777234.0,jp
408,county rock,777234.0,jp
409,dance,644123.9992063493,jp
410,dance pop,609719.4797599468,jp
411,dancehall,91181.0,jp
412,deep pop r&b,179470.0,jp
413,dubstep,1646298.7,jp
414,electro,569805.7333862433,jp
415,electro house,1223536.0833333333,jp
416,electropop,1283560.259513435,jp
417,emo,1444247.3095238097,jp
418,escape room,549863.0,jp
419,europop,173766.0,jp
420,experimental,303575.0,jp
421,folk rock,303575.0,jp
422,funk,2966953.75,jp
423,grime,89316.5,jp
424,hip hop,213199.19464285715,jp
425,house,412593.7867647059,jp
426,indie pop,1973916.103896104,jp
427,indie r&b,179470.0,jp
428,indie rock,393785.3333333333,jp
429,indietronica,1386301.361111111,jp
430,j-dance,137431.0,jp
431,j-division,422980.5,jp
432,j-pop,1386852.018518519,jp
433,j-rap,388862.8571428572,jp
434,j-rock,2245963.25,jp
435,k-hop,213902.0,jp
436,k-pop,425424.0178571429,jp
437,latin,279901.7708333333,jp
438,mellow gold,303575.0,jp
439,moombahton,198376.0,jp
440,new wave,1907812.3333333333,jp
441,ninja,230311.7142857143,jp
442,other,456532.5612535612,jp
443,pop,821091.0705642995,jp
444,pop punk,576738.5,jp
445,pop rap,290490.6475211297,jp
446,pop rock,328834.33333333326,jp
447,psychedelic rock,303575.0,jp
448,punk,889665.0,jp
449,r&b,424171.2763888888,jp
450,rap,335448.0782312925,jp
451,reggae,273843.0,jp
452,reggaeton,163591.55555555556,jp
453,rock,500678.8333333334,jp
454,soul,140538.75,jp
455,techno,446144.0,jp
456,trance,73274.0,jp
457,trap,155004.86666666667,jp
458,tropical house,514181.0,jp
459,adult standards,6561658.9,us
460,afrobeat,5136281.0,us
461,afropop,3990479.055555556,us
462,azonto,4627841.0,us
463,bachata,3053513.0,us
464,blues,5136281.0,us
465,blues rock,2259513.0,us
466,brazilian funk,5925788.0,us
467,celtic,2379926.0,us
468,classic rock,6024141.0,us
469,classical,8891041.0,us
470,country,32444614.379503105,us
471,country pop,36683940.75,us
472,country rap,18930253.0625,us
473,county rock,28576902.75,us
474,dance,11081618.254166666,us
475,dance pop,12747065.850299496,us
476,dancehall,2601505.242424242,us
477,deep pop r&b,3463064.611111111,us
478,dembow,1835132.0,us
479,disco,1540968.0,us
480,disco house,1608155.0,us
481,drill,2156621.653679653,us
482,dubstep,21695612.466025643,us
483,easy listening,6083483.125,us
484,electro,11095813.51020619,us
485,electro house,20820501.6191733,us
486,electropop,21167585.292778056,us
487,emo,18892197.95238095,us
488,escape room,4377511.616666666,us
489,europop,4565902.0,us
490,experimental,12927022.0,us
491,folk,3372522.714285714,us
492,folk rock,12927022.0,us
493,gospel,2496106.5555555555,us
494,grime,6915821.966666666,us
495,hip hop,9260181.531694002,us
496,house,12239426.94077272,us
497,indie,7336139.059523809,us
498,indie pop,24760579.49107143,us
499,indie pop rap,9391342.066666666,us
500,indie r&b,3101937.9285714286,us
501,indie rock,9936509.283333335,us
502,indie soul,1940842.6875,us
503,indietronica,9553788.714285716,us
504,jazz,10640509.0,us
505,k-hop,1857168.625,us
506,k-pop,5641201.0666666655,us
507,latin,14117593.842238177,us
508,lounge,5390239.875,us
509,mellow gold,12927022.0,us
510,metal,22862690.0,us
511,moombahton,12909557.21923077,us
512,new wave,2191634.5,us
513,ninja,14013199.986363636,us
514,other,13522949.364373898,us
515,pagode baiano,5925788.0,us
516,pop,19033790.91291367,us
517,pop punk,18873307.5,us
518,pop rap,12963656.541747048,us
519,pop rock,15452681.38888889,us
520,psychedelic rock,12927022.0,us
521,punk,1626760.0,us
522,r&b,13247489.028179424,us
523,rap,12907452.61221291,us
524,rap rock,11698469.333333336,us
525,reggae,37808144.0,us
526,reggaeton,11625082.294233091,us
527,rock,8876528.527777778,us
528,soul,9916461.113333331,us
529,techno,24138750.0,us
530,trance,1615176.0,us
531,trap,15165009.656018518,us
532,tropical,4992158.75,us
533,tropical house,19278860.4,us
534,urban contemporary,3266973.0,us
